5.218.236.0/22	32.0.0.0/6	0.0.0.0/16	0.0.0.0/24		15
5.218.240.0/20	32.0.0.0/6	0.0.0.0/16	0.0.0.0/24		7
5.218.224.0/20	32.0.0.0/6	0.0.0.0/16	0.0.1.0/24		12
5.218.240.0/20	32.0.0.0/6	0.0.0.0/16	0.0.1.0/24		5
5.218.192.0/19	32.0.0.0/6	0.0.0.0/16	0.0.2.0/23		11
5.218.224.0/19	32.0.0.0/6	0.0.0.0/16	0.0.2.0/23		14
5.218.128.0/18	32.0.0.0/6	0.0.0.0/16	0.0.4.0/22		5
5.218.192.0/20	32.0.0.0/6	0.0.0.0/16	0.0.4.0/22		5
5.218.208.0/20	32.0.0.0/6	0.0.0.0/16	0.0.4.0/22		9
5.218.224.0/20	32.0.0.0/6	0.0.0.0/16	0.0.4.0/22		14
5.218.240.0/20	32.0.0.0/6	0.0.0.0/16	0.0.4.0/22		5
5.218.0.0/17	32.0.0.0/6	0.0.0.0/16	0.0.8.0/21		6
5.218.128.0/19	32.0.0.0/6	0.0.0.0/16	0.0.8.0/21		5
5.218.160.0/19	32.0.0.0/6	0.0.0.0/16	0.0.8.0/21		5
5.218.192.0/19	32.0.0.0/6	0.0.0.0/16	0.0.8.0/21		9
5.218.224.0/19	32.0.0.0/6	0.0.0.0/16	0.0.8.0/21		12
5.219.0.0/16	32.0.0.0/6	0.0.0.0/16	0.0.0.0/20		12
5.220.0.0/14	32.0.0.0/6	0.0.0.0/16	0.0.0.0/20		11
5.192.0.0/12	36.0.0.0/6	0.0.0.0/16	0.0.0.0/20		15
5.208.0.0/13	36.0.0.0/6	0.0.0.0/16	0.0.0.0/21		15
5.216.0.0/15	36.0.0.0/6	0.0.0.0/16	0.0.0.0/23		8
5.218.0.0/17	36.0.0.0/6	0.0.0.0/16	0.0.0.0/23		9
5.218.128.0/19	36.0.0.0/6	0.0.0.0/16	0.0.0.0/23		8
5.218.160.0/19	36.0.0.0/6	0.0.0.0/16	0.0.0.0/23		8
